tick,timestamp,experience,dim_shraddha,dim_bhaya,dim_vairagya,dim_spanda,spike_shraddha,spike_bhaya,spike_vairagya,spike_spanda,vairagya_decay_contribution,W_shraddha_bhaya,W_shraddha_vairagya,W_shraddha_spanda,W_bhaya_shraddha,W_bhaya_vairagya,W_bhaya_spanda,W_vairagya_shraddha,W_vairagya_bhaya,W_vairagya_spanda,W_spanda_shraddha,W_spanda_bhaya,W_spanda_vairagya,lab_shraddha_bhaya,lab_shraddha_vairagya,lab_shraddha_spanda,lab_bhaya_shraddha,lab_bhaya_vairagya,lab_bhaya_spanda,lab_vairagya_shraddha,lab_vairagya_bhaya,lab_vairagya_spanda,lab_spanda_shraddha,lab_spanda_bhaya,lab_spanda_vairagya,vel_shraddha_bhaya,vel_shraddha_vairagya,vel_shraddha_spanda,vel_bhaya_shraddha,vel_bhaya_vairagya,vel_bhaya_spanda,vel_vairagya_shraddha,vel_vairagya_bhaya,vel_vairagya_spanda,vel_spanda_shraddha,vel_spanda_bhaya,vel_spanda_vairagya,experiment_phase
1,1773730715.6560183,,0.5,0.0,0.3,0.394,1,0,0,1,3e-05,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099997,0.0,0.0,0.0,0.0,0.0,0.0,0.0099997,0.0,0.0,A
2,1773730715.666119,,0.5,0.0,0.3,0.38818,1,0,0,1,3e-05,0.0,0.0,0.019999,0.0,0.0,0.0,0.0,0.0,0.0,0.019999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099994,0.0,0.0,0.0,0.0,0.0,0.0,0.0099994,0.0,0.0,A
3,1773730715.6755586,,0.5,0.0,0.3,0.382535,1,0,0,1,3e-05,0.0,0.0,0.029998,0.0,0.0,0.0,0.0,0.0,0.0,0.029998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099991,0.0,0.0,0.0,0.0,0.0,0.0,0.0099991,0.0,0.0,A
4,1773730715.68508,,0.5,0.0,0.3,0.377059,1,0,0,1,3e-05,0.0,0.0,0.039997,0.0,0.0,0.0,0.0,0.0,0.0,0.039997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099988,0.0,0.0,0.0,0.0,0.0,0.0,0.0099988,0.0,0.0,A
5,1773730715.69408,,0.5,0.0,0.3,0.371747,1,0,0,1,3e-05,0.0,0.0,0.049996,0.0,0.0,0.0,0.0,0.0,0.0,0.049996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099985,0.0,0.0,0.0,0.0,0.0,0.0,0.0099985,0.0,0.0,A
6,1773730715.7030804,,0.5,0.0,0.3,0.366594,1,0,0,1,3e-05,0.0,0.0,0.059994,0.0,0.0,0.0,0.0,0.0,0.0,0.059994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099982,0.0,0.0,0.0,0.0,0.0,0.0,0.0099982,0.0,0.0,A
7,1773730715.7130797,,0.5,0.0,0.3,0.361597,1,0,0,1,3e-05,0.0,0.0,0.069992,0.0,0.0,0.0,0.0,0.0,0.0,0.069992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099979,0.0,0.0,0.0,0.0,0.0,0.0,0.0099979,0.0,0.0,A
8,1773730715.7766514,,0.5,0.0,0.3,0.356749,1,0,0,1,3e-05,0.0,0.0,0.079989,0.0,0.0,0.0,0.0,0.0,0.0,0.079989,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099976,0.0,0.0,0.0,0.0,0.0,0.0,0.0099976,0.0,0.0,A
9,1773730715.7861638,,0.5,0.0,0.3,0.352046,1,0,0,1,3e-05,0.0,0.0,0.089987,0.0,0.0,0.0,0.0,0.0,0.0,0.089987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099973,0.0,0.0,0.0,0.0,0.0,0.0,0.0099973,0.0,0.0,A
10,1773730715.7966723,,0.5,0.0,0.3,0.347485,1,0,0,1,3e-05,0.0,0.0,0.099984,0.0,0.0,0.0,0.0,0.0,0.0,0.099984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009997,0.0,0.0,0.0,0.0,0.0,0.0,0.009997,0.0,0.0,A
11,1773730715.8056724,,0.5,0.0,0.3,0.34306,1,0,0,1,3e-05,0.0,0.0,0.10998,0.0,0.0,0.0,0.0,0.0,0.0,0.10998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099967,0.0,0.0,0.0,0.0,0.0,0.0,0.0099967,0.0,0.0,A
12,1773730715.8166723,,0.5,0.0,0.3,0.338768,1,0,0,1,3e-05,0.0,0.0,0.119977,0.0,0.0,0.0,0.0,0.0,0.0,0.119977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099964,0.0,0.0,0.0,0.0,0.0,0.0,0.0099964,0.0,0.0,A
13,1773730715.8256724,,0.5,0.0,0.3,0.334605,1,0,0,1,3e-05,0.0,0.0,0.129973,0.0,0.0,0.0,0.0,0.0,0.0,0.129973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099961,0.0,0.0,0.0,0.0,0.0,0.0,0.0099961,0.0,0.0,A
14,1773730715.8366723,,0.5,0.0,0.3,0.330567,1,0,0,1,3e-05,0.0,0.0,0.139969,0.0,0.0,0.0,0.0,0.0,0.0,0.139969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099958,0.0,0.0,0.0,0.0,0.0,0.0,0.0099958,0.0,0.0,A
15,1773730715.846672,,0.5,0.0,0.3,0.32665,1,0,0,1,3e-05,0.0,0.0,0.149964,0.0,0.0,0.0,0.0,0.0,0.0,0.149964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099955,0.0,0.0,0.0,0.0,0.0,0.0,0.0099955,0.0,0.0,A
16,1773730715.8576725,,0.5,0.0,0.3,0.322851,1,0,0,1,3e-05,0.0,0.0,0.159959,0.0,0.0,0.0,0.0,0.0,0.0,0.159959,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099952,0.0,0.0,0.0,0.0,0.0,0.0,0.0099952,0.0,0.0,A
17,1773730715.8666775,,0.5,0.0,0.3,0.319165,1,0,0,1,3e-05,0.0,0.0,0.169954,0.0,0.0,0.0,0.0,0.0,0.0,0.169954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099949,0.0,0.0,0.0,0.0,0.0,0.0,0.0099949,0.0,0.0,A
18,1773730715.876998,,0.5,0.0,0.3,0.31559,1,0,0,1,3e-05,0.0,0.0,0.179949,0.0,0.0,0.0,0.0,0.0,0.0,0.179949,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099946,0.0,0.0,0.0,0.0,0.0,0.0,0.0099946,0.0,0.0,A
19,1773730715.8875198,,0.5,0.0,0.3,0.312123,1,0,0,1,3e-05,0.0,0.0,0.189943,0.0,0.0,0.0,0.0,0.0,0.0,0.189943,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099943,0.0,0.0,0.0,0.0,0.0,0.0,0.0099943,0.0,0.0,A
20,1773730715.8975186,,0.5,0.0,0.3,0.308759,1,0,0,1,3e-05,0.0,0.0,0.199937,0.0,0.0,0.0,0.0,0.0,0.0,0.199937,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009994,0.0,0.0,0.0,0.0,0.0,0.0,0.009994,0.0,0.0,A
21,1773730715.907661,,0.5,0.0,0.3,0.305496,1,0,0,1,3e-05,0.0,0.0,0.209931,0.0,0.0,0.0,0.0,0.0,0.0,0.209931,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099937,0.0,0.0,0.0,0.0,0.0,0.0,0.0099937,0.0,0.0,A
22,1773730715.9196658,,0.5,0.0,0.3,0.302331,1,0,0,1,3e-05,0.0,0.0,0.219924,0.0,0.0,0.0,0.0,0.0,0.0,0.219924,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099934,0.0,0.0,0.0,0.0,0.0,0.0,0.0099934,0.0,0.0,A
23,1773730715.9298797,,0.5,0.0,0.3,0.299261,1,0,0,1,3e-05,0.0,0.0,0.229917,0.0,0.0,0.0,0.0,0.0,0.0,0.229917,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099931,0.0,0.0,0.0,0.0,0.0,0.0,0.0099931,0.0,0.0,A
24,1773730715.9410493,,0.5,0.0,0.3,0.296283,1,0,0,1,3e-05,0.0,0.0,0.23991,0.0,0.0,0.0,0.0,0.0,0.0,0.23991,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099928,0.0,0.0,0.0,0.0,0.0,0.0,0.0099928,0.0,0.0,A
25,1773730715.9521167,,0.5,0.0,0.3,0.293395,1,0,0,1,3e-05,0.0,0.0,0.249903,0.0,0.0,0.0,0.0,0.0,0.0,0.249903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099925,0.0,0.0,0.0,0.0,0.0,0.0,0.0099925,0.0,0.0,A
26,1773730715.962116,,0.5,0.0,0.3,0.290593,1,0,0,1,3e-05,0.0,0.0,0.259895,0.0,0.0,0.0,0.0,0.0,0.0,0.259895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099922,0.0,0.0,0.0,0.0,0.0,0.0,0.0099922,0.0,0.0,A
27,1773730715.97239,,0.5,0.0,0.3,0.287875,1,0,0,1,3e-05,0.0,0.0,0.269887,0.0,0.0,0.0,0.0,0.0,0.0,0.269887,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099919,0.0,0.0,0.0,0.0,0.0,0.0,0.0099919,0.0,0.0,A
28,1773730715.9829059,,0.5,0.0,0.3,0.285239,1,0,0,1,3e-05,0.0,0.0,0.279878,0.0,0.0,0.0,0.0,0.0,0.0,0.279878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099916,0.0,0.0,0.0,0.0,0.0,0.0,0.0099916,0.0,0.0,A
29,1773730715.9941003,,0.5,0.0,0.3,0.282682,1,0,0,1,3e-05,0.0,0.0,0.28987,0.0,0.0,0.0,0.0,0.0,0.0,0.28987,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099913,0.0,0.0,0.0,0.0,0.0,0.0,0.0099913,0.0,0.0,A
30,1773730716.00512,,0.5,0.0,0.3,0.280201,1,0,0,1,3e-05,0.0,0.0,0.299861,0.0,0.0,0.0,0.0,0.0,0.0,0.299861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009991,0.0,0.0,0.0,0.0,0.0,0.0,0.009991,0.0,0.0,A
31,1773730716.0161288,,0.5,0.0,0.3,0.277795,1,0,0,1,3e-05,0.0,0.0,0.309851,0.0,0.0,0.0,0.0,0.0,0.0,0.309851,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0099907,0.0,0.0,0.0,0.0,0.0,0.0,0.0099907,0.0,0.0,A
32,1773730716.0271282,,0.5,0.0,0.3,0.275462,1,0,0,0,3e-05,0.0,0.0,0.309842,0.0,0.0,0.0,0.0,0.0,0.0,0.309842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.3e-06,0.0,0.0,A
33,1773730716.0381281,,0.5,0.0,0.3,0.273198,1,0,0,0,3e-05,0.0,0.0,0.309833,0.0,0.0,0.0,0.0,0.0,0.0,0.309833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.3e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.3e-06,0.0,0.0,A
34,1773730716.0499606,,0.5,0.0,0.3,0.271002,1,0,0,0,3e-05,0.0,0.0,0.309823,0.0,0.0,0.0,0.0,0.0,0.0,0.309823,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
35,1773730716.0619607,,0.5,0.0,0.3,0.268872,1,0,0,0,3e-05,0.0,0.0,0.309814,0.0,0.0,0.0,0.0,0.0,0.0,0.309814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
36,1773730716.0724747,,0.5,0.0,0.3,0.266806,1,0,0,0,3e-05,0.0,0.0,0.309805,0.0,0.0,0.0,0.0,0.0,0.0,0.309805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
37,1773730716.0829835,,0.5,0.0,0.3,0.264801,1,0,0,0,3e-05,0.0,0.0,0.309795,0.0,0.0,0.0,0.0,0.0,0.0,0.309795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
38,1773730716.093994,,0.5,0.0,0.3,0.262857,1,0,0,0,3e-05,0.0,0.0,0.309786,0.0,0.0,0.0,0.0,0.0,0.0,0.309786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
39,1773730716.1039994,,0.5,0.0,0.3,0.260972,1,0,0,0,3e-05,0.0,0.0,0.309777,0.0,0.0,0.0,0.0,0.0,0.0,0.309777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
40,1773730716.1149943,,0.5,0.0,0.3,0.259142,1,0,0,0,3e-05,0.0,0.0,0.309768,0.0,0.0,0.0,0.0,0.0,0.0,0.309768,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
41,1773730716.1251688,,0.5,0.0,0.3,0.257368,1,0,0,0,3e-05,0.0,0.0,0.309758,0.0,0.0,0.0,0.0,0.0,0.0,0.309758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
42,1773730716.1365752,,0.5,0.0,0.3,0.255647,1,0,0,0,3e-05,0.0,0.0,0.309749,0.0,0.0,0.0,0.0,0.0,0.0,0.309749,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
43,1773730716.1475751,,0.5,0.0,0.3,0.253978,1,0,0,0,3e-05,0.0,0.0,0.30974,0.0,0.0,0.0,0.0,0.0,0.0,0.30974,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
44,1773730716.158629,,0.5,0.0,0.3,0.252358,1,0,0,0,3e-05,0.0,0.0,0.30973,0.0,0.0,0.0,0.0,0.0,0.0,0.30973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
45,1773730716.1698792,,0.5,0.0,0.3,0.250788,1,0,0,0,3e-05,0.0,0.0,0.309721,0.0,0.0,0.0,0.0,0.0,0.0,0.309721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
46,1773730716.1803806,,0.5,0.0,0.3,0.249264,1,0,0,0,3e-05,0.0,0.0,0.309712,0.0,0.0,0.0,0.0,0.0,0.0,0.309712,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
47,1773730716.1915271,,0.5,0.0,0.3,0.247786,1,0,0,0,3e-05,0.0,0.0,0.309703,0.0,0.0,0.0,0.0,0.0,0.0,0.309703,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
48,1773730716.2015276,,0.5,0.0,0.3,0.246353,1,0,0,0,3e-05,0.0,0.0,0.309693,0.0,0.0,0.0,0.0,0.0,0.0,0.309693,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
49,1773730716.2105324,,0.5,0.0,0.3,0.244962,1,0,0,0,3e-05,0.0,0.0,0.309684,0.0,0.0,0.0,0.0,0.0,0.0,0.309684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
50,1773730716.2205272,,0.5,0.0,0.3,0.243613,1,0,0,0,3e-05,0.0,0.0,0.309675,0.0,0.0,0.0,0.0,0.0,0.0,0.309675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,0.0,0.0,0.0,0.0,-9.29e-06,0.0,0.0,A
51,1773730716.2331169,pain,0.35015,0.245,0.35,0.145305,0,0,0,0,3.5e-05,0.0,0.0,0.309664,0.0,0.0,0.0,0.0,0.0,0.0,0.309664,0.0,0.0,0.245,0.0,0.0,0.245,0.245,0.245,0.0,0.0,0.0,0.0,0.245,0.0,0.0,0.0,-1.084e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.084e-05,0.0,0.0,B
52,1773730716.2451231,,0.3503,0.2401,0.35,0.146946,0,0,0,0,3.5e-05,0.0,0.0,0.309653,0.0,0.0,0.0,0.0,0.0,0.0,0.309653,0.0,0.0,0.2401,0.0,0.0,0.2401,0.2401,0.2401,0.0,0.0,0.0,0.0,0.2401,0.0,0.0,0.0,-1.084e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.084e-05,0.0,0.0,B
53,1773730716.2565002,,0.35045,0.235298,0.35,0.148537,0,0,0,0,3.5e-05,0.0,0.0,0.309642,0.0,0.0,0.0,0.0,0.0,0.0,0.309642,0.0,0.0,0.235298,0.0,0.0,0.235298,0.235298,0.235298,0.0,0.0,0.0,0.0,0.235298,0.0,0.0,0.0,-1.084e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.084e-05,0.0,0.0,B
54,1773730716.2687306,,0.350599,0.230592,0.35,0.150081,0,0,0,0,3.5e-05,0.0,0.0,0.309631,0.0,0.0,0.0,0.0,0.0,0.0,0.309631,0.0,0.0,0.230592,0.0,0.0,0.230592,0.230592,0.230592,0.0,0.0,0.0,0.0,0.230592,0.0,0.0,0.0,-1.084e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.084e-05,0.0,0.0,B
55,1773730716.2792413,,0.350749,0.22598,0.35,0.151579,0,0,0,0,3.5e-05,0.0,0.0,0.30962,0.0,0.0,0.0,0.0,0.0,0.0,0.30962,0.0,0.0,0.22598,0.0,0.0,0.22598,0.22598,0.22598,0.0,0.0,0.0,0.0,0.22598,0.0,0.0,0.0,-1.084e-05,0.0,0.0,0.0,0.0,0.0,0.0,-1.084e-05,0.0,0.0,B
